fighter_name,Height_ft_in,Weight_lbs,Reach_lbs,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,Opp_Str,TD_Avg,TD_Acc,TD_Def,Opp_TD,Sub_Avg
Martin Buschkamp,"5' 9""",145,,Orthodox,6-Jan-91,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Warlley Alves,"5' 11""",170,72,Orthodox,4-Jan-91,3.09,0.47,3.62,0.50,0.50,1.48,0.54,0.75,0.25,1
Jeremy Kimball,"6' 0""",205,72,Switch,3-Jan-91,2.81,0.46,3.84,0.49,0.51,1.41,0.20,0.50,0.50,0
Darren Stewart,"6' 0""",185,74,Orthodox,30-Dec-90,3.09,0.44,3.09,0.50,0.50,1.5,0.40,0.65,0.35,0.1
Peter Petties,"5' 11""",145,72,Southpaw,20-Dec-90,2.61,0.29,8.24,0.48,0.52,0,0.00,0.00,1.00,0
Robert Whittaker,"6' 0""",185,73,Orthodox,20-Dec-90,4.52,0.40,3.44,0.60,0.40,0.43,0.27,0.84,0.16,0
Steve Montgomery,"6' 4""",185,,Southpaw,19-Dec-90,4.85,0.39,4.12,0.47,0.53,0,0.00,0.64,0.36,0
Tatiana Suarez,"5' 5""",115,66,Southpaw,19-Dec-90,4.82,0.65,1.45,0.48,0.52,6.47,0.62,1.00,0.00,0.6
Roman Bogatov,"5' 8""",155,73,Orthodox,15-Dec-90,3.33,0.42,4.4,0.44,0.56,1,0.09,0.50,0.50,0
Daniel Pereira,"5' 10""",185,,,13-Dec-90,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Mateusz Gamrot,"5' 10""",155,70,Southpaw,11-Dec-90,3.47,0.41,2.47,0.56,0.44,5,0.31,1.00,0.00,0
Alexandr Romanov,"6' 2""",262,75,Southpaw,11-Dec-90,4.31,0.39,1.76,0.43,0.57,6.35,0.66,0.00,1.00,3.2
Stephen Banaszak,"6' 0""",145,,,7-Dec-90,4.2,0.47,1.15,0.66,0.34,0,0.00,1.00,0.00,1.9
Antonio Trocoli,"6' 5""",205,82,Orthodox,6-Dec-90,1.27,0.71,4.56,0.25,0.75,3.8,1.00,1.00,0.00,3.8
Roldan Sangcha'an,"5' 4""",125,,Orthodox,4-Dec-90,2.71,0.46,2.15,0.51,0.49,1.94,0.60,0.68,0.32,0
Ivan Cole,"5' 9""",135,,,30-Nov-90,2.68,0.36,4.69,0.46,0.54,0,0.00,0.00,1.00,0
Felicia Spencer,"5' 6""",145,68,Orthodox,29-Nov-90,3.02,0.45,5.57,0.43,0.57,0.64,0.10,0.14,0.86,0.3
Lukasz Sajewski,"5' 8""",155,71,Orthodox,27-Nov-90,2.06,0.35,3.88,0.57,0.43,1.01,0.25,0.66,0.34,0
Maki Pitolo,"5' 10""",185,75,Orthodox,24-Nov-90,4.2,0.44,3.71,0.56,0.44,2.42,0.52,0.55,0.45,0.5
Boston Salmon,"5' 9""",135,69,Southpaw,20-Nov-90,4.13,0.37,7.75,0.59,0.41,0,0.00,1.00,0.00,0
Don Madge,"6' 0""",155,72,Southpaw,12-Nov-90,2.08,0.52,0.74,0.67,0.33,2.22,0.25,0.80,0.20,0.7
Vince Morales,"5' 7""",145,70,Orthodox,12-Nov-90,4.22,0.39,4.16,0.53,0.47,0,0.00,0.55,0.45,0
Taylor Johnson,"6' 0""",185,74,Switch,9-Nov-90,5.09,0.60,1.13,0.33,0.67,8.49,1.00,1.00,0.00,0
Patrick Sabatini,"5' 8""",145,70,Orthodox,9-Nov-90,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Carlos Ulberg,"6' 4""",205,77,Orthodox,7-Nov-90,15.07,0.62,8.6,0.47,0.53,0,0.00,1.00,0.00,0
Sean Lally,"6' 0""",170,,Orthodox,4-Nov-90,5.34,0.39,7.23,0.30,0.70,0,0.00,0.00,1.00,0
JJ Okanovich,"5' 11""",155,76,Orthodox,4-Nov-90,6.93,0.55,5.27,0.50,0.50,0,0.00,1.00,0.00,0
Jason Jackson,"6' 1""",170,78,Orthodox,30-Oct-90,2.24,0.48,1.31,0.56,0.44,0,0.00,0.00,1.00,0
Jordan Williams,"6' 1""",185,75,Southpaw,13-Oct-90,6.07,0.51,5.77,0.35,0.65,0.98,0.50,0.88,0.12,0
Kyoji Horiguchi,"5' 5""",125,66,Orthodox,12-Oct-90,3.6,0.45,2.45,0.62,0.38,2,0.44,0.55,0.45,0
Sheymon Moraes,"5' 8""",145,72,Orthodox,11-Oct-90,3,0.42,3.64,0.63,0.37,0,0.00,0.53,0.47,0
Rafael Alves,"5' 8""",145,68,Orthodox,10-Oct-90,2.02,0.45,3.66,0.59,0.41,0,0.00,1.00,0.00,1.9
Karl Roberson,"6' 1""",185,74,Southpaw,4-Oct-90,3,0.51,2.42,0.57,0.43,0.99,0.57,0.50,0.50,0.8
Erick Sanchez,"5' 10""",145,,,4-Oct-90,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Michinori Tanaka,"5' 5""",135,67,Orthodox,4-Oct-90,1.97,0.37,1.99,0.50,0.50,2.4,0.38,0.43,0.57,0.2
Norma Dumont,"5' 7""",135,67,Orthodox,1-Oct-90,5.35,0.55,2.65,0.72,0.28,2.43,0.42,1.00,0.00,0
Cameron Church,"5' 11""",155,72,Orthodox,27-Sep-90,4,0.40,4.93,0.50,0.50,0,0.00,0.60,0.40,1
Austin Tweedy,"5' 9""",155,,Orthodox,25-Sep-90,4.29,0.66,6.43,0.00,1.00,0,0.00,0.00,1.00,0
Ali AlQaisi,"5' 6""",135,68,Orthodox,23-Sep-90,2.43,0.42,1.97,0.56,0.44,3.5,0.29,0.60,0.40,1
Stephanie Frausto,"5' 2""",115,61,Orthodox,20-Sep-90,1.43,0.21,3.57,0.60,0.40,0,0.00,0.00,1.00,0
Ariel Beck,"5' 6""",125,66,Southpaw,16-Sep-90,4.44,0.34,4.31,0.64,0.36,0,0.00,0.00,1.00,0
Horacio Gutierrez,"5' 10""",145,,,15-Sep-90,0.86,0.26,2.91,0.46,0.54,0,0.00,0.50,0.50,0
Te Edwards,"5' 8""",155,72,Orthodox,11-Sep-90,1.5,0.41,4.15,0.44,0.56,0.72,1.00,0.44,0.56,0
Will Chope,"6' 4""",145,,Switch,8-Sep-90,4.43,0.27,9.93,0.46,0.54,0,0.00,0.00,1.00,0
Jimmy Flick,"5' 7""",125,68,Orthodox,7-Sep-90,1.99,0.58,2.3,0.50,0.50,1.81,0.50,0.00,1.00,7.2
Alexis Dufresne,"5' 9""",135,,Orthodox,31-Aug-90,1.33,0.27,3.33,0.60,0.40,1.5,0.50,0.50,0.50,0
Jhonoven Pati,"6' 1""",185,75,Switch,29-Aug-90,2.88,0.53,6.13,0.33,0.67,2.7,1.00,0.00,1.00,0
Geoff Neal,"5' 11""",170,75,Southpaw,28-Aug-90,4.94,0.49,4.93,0.61,0.39,0.5,0.50,0.92,0.08,0.2
Dayana Silva,"5' 7""",135,,Orthodox,27-Aug-90,6.33,0.51,5.93,0.57,0.43,0,0.00,0.42,0.58,0
Jordan Parsons,"5' 9""",145,,,26-Aug-90,3.29,0.40,2.37,0.60,0.40,1.54,0.21,0.50,0.50,1
Aliaskhab Khizriev,"5' 9""",185,74,Southpaw,24-Aug-90,6,0.83,3.6,0.66,0.34,18,0.50,0.00,1.00,18
Andrey Koreshkov,"6' 0""",170,,,23-Aug-90,2.84,0.39,1.92,0.63,0.37,4.8,0.53,0.00,1.00,0
Alex Morono,"5' 11""",170,72,Orthodox,16-Aug-90,4.96,0.42,3.69,0.56,0.44,0.44,0.28,0.47,0.53,0.4
Rolando Dy,"5' 8""",145,69,Orthodox,11-Aug-90,3.04,0.37,4.47,0.52,0.48,0.3,0.20,0.68,0.32,0
Emmanuel Sanchez,"5' 9""",145,71,,11-Aug-90,4.45,0.35,4.17,0.55,0.45,0.25,0.06,0.16,0.84,0.5
Shamil Gamzatov,"6' 2""",205,76,Orthodox,9-Aug-90,4.27,0.46,2.13,0.58,0.42,0,0.00,0.50,0.50,0
Ante Delija,"6' 4""",245,,Orthodox,7-Aug-90,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Trevin Jones,"5' 7""",140,70,Southpaw,4-Aug-90,3.84,0.61,6.81,0.35,0.65,1.17,0.20,0.00,1.00,0
David Zawada,"6' 0""",170,75,Orthodox,1-Aug-90,3.24,0.40,4.07,0.54,0.46,0.96,0.30,0.57,0.43,2.2
Daniel Spitz,"6' 7""",245,82,Orthodox,31-Jul-90,2.6,0.35,5.3,0.46,0.54,0.74,0.66,0.00,1.00,0
Jose Quinonez,"5' 8""",135,69,Southpaw,28-Jul-90,3.6,0.45,3,0.64,0.36,2.7,0.47,0.42,0.58,0.6
Fabricio Guerreiro,"5' 10""",145,,,24-Jul-90,1.87,0.31,2.2,0.67,0.33,2,0.50,0.00,1.00,0
Philip Rowe,"6' 3""",170,80,Orthodox,18-Jul-90,4.99,0.60,5.34,0.51,0.49,1.19,0.33,0.25,0.75,0
Michael Byrnes,"5' 11""",155,,,17-Jul-90,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Viktor Pesta,"6' 3""",240,77,Orthodox,15-Jul-90,1.58,0.36,2.54,0.56,0.44,3.29,0.28,1.00,0.00,0
Aleksandra Albu,"5' 2""",115,63,Orthodox,14-Jul-90,4.83,0.47,5.56,0.38,0.62,2.27,0.50,0.77,0.23,0.4
Cody Pfister,"5' 10""",155,73,Orthodox,12-Jul-90,1.41,0.25,2.8,0.51,0.49,2.82,0.30,0.00,1.00,0
Randy Brown,"6' 3""",170,78,Orthodox,8-Jul-90,3.67,0.47,2.8,0.53,0.47,1,0.46,0.71,0.29,0.6
Craig White,"6' 2""",170,76,Orthodox,1-Jul-90,1.23,0.40,3.28,0.39,0.61,0,0.00,0.50,0.50,0.8
Andre Fili,"5' 11""",145,74,Orthodox,25-Jun-90,3.73,0.36,3.9,0.52,0.48,2.5,0.49,0.64,0.36,0.2
Amador Ramirez,,135,,,14-Jun-90,4.93,0.51,2.07,0.69,0.31,1,0.33,0.00,1.00,0
John Lineker,"5' 3""",135,67,Orthodox,12-Jun-90,5.36,0.40,4.27,0.56,0.44,0.56,0.58,0.67,0.33,0.6
Matt Frevola,"5' 9""",155,71,Orthodox,11-Jun-90,2.73,0.37,3.44,0.58,0.42,2.59,0.37,0.40,0.60,1.1
Takashi Sato,"5' 10""",170,73,Southpaw,9-Jun-90,3.16,0.37,4.81,0.50,0.50,0.53,0.50,0.75,0.25,0
Ricardo Prasel,"6' 7""",238,78,Orthodox,2-Jun-90,2.21,0.57,7.83,0.37,0.63,0,0.00,0.00,1.00,0
Bobby Moffett,"5' 10""",145,73,Orthodox,1-Jun-90,3.41,0.39,3.15,0.61,0.39,2.74,0.66,0.66,0.34,1.4
Steven Peterson,"5' 10""",145,70,Orthodox,29-May-90,4.65,0.35,5.89,0.56,0.44,2.02,0.28,0.75,0.25,0.4
Geane Herrera,"5' 5""",125,66,Orthodox,27-May-90,1.51,0.31,5.07,0.52,0.48,0.83,0.37,0.38,0.62,0.6
TJ Brown,"5' 9""",145,72,Switch,22-May-90,3.22,0.42,2.21,0.50,0.50,4.92,0.60,0.40,0.60,0.4
Malcolm Gordon,"5' 7""",125,71,Switch,19-May-90,0.55,0.13,3.87,0.54,0.46,0,0.00,0.00,1.00,0
Justin Lawrence,"5' 8""",145,67,Orthodox,15-May-90,3.84,0.35,2.83,0.67,0.33,0.72,0.28,0.73,0.27,0
Alvaro Herrera Mendoza,"6' 0""",155,74,Orthodox,14-May-90,1.89,0.38,3.4,0.55,0.45,0,0.00,0.33,0.67,1.1
Brandon Davis,"5' 10""",135,72,Orthodox,8-May-90,4.65,0.35,4.33,0.60,0.40,0.71,0.45,0.56,0.44,0.1
Julian Marquez,"6' 2""",185,72,Orthodox,8-May-90,3.5,0.40,2.98,0.52,0.48,0,0.00,0.53,0.47,3.4
Molly McCann,"5' 4""",125,62,Orthodox,4-May-90,5.15,0.50,4.28,0.65,0.35,1.64,0.29,0.28,0.72,0.7
Alex Nicholson,"6' 4""",185,77,Orthodox,2-May-90,4.12,0.43,4.65,0.47,0.53,0,0.00,0.50,0.50,0.5
Darrick Minner,"5' 7""",145,69,Orthodox,28-Apr-90,3.24,0.70,1.4,0.43,0.57,3,0.62,0.60,0.40,3.6
Michal Martinek,"6' 2""",230,,Southpaw,19-Apr-90,2.45,0.53,4.29,0.51,0.49,0,0.00,0.00,1.00,0
Alexandre Pantoja,"5' 5""",125,67,Orthodox,16-Apr-90,4.3,0.47,3.39,0.53,0.47,0.94,0.35,0.68,0.32,0.9
Gabrielle Holloway,"5' 3""",145,,,15-Apr-90,0.7,0.42,3.07,0.34,0.66,3,0.35,0.16,0.84,1
Devin Clark,"6' 0""",205,75,Orthodox,12-Apr-90,3.33,0.57,2.43,0.48,0.52,2.7,0.36,0.76,0.24,0.1
Ciryl Gane,"6' 4""",245,81,Orthodox,12-Apr-90,5.04,0.55,1.85,0.69,0.31,1.13,0.26,1.00,0.00,0.5
Azamat Gashimov,"5' 6""",125,,Orthodox,7-Apr-90,1.24,0.21,4.75,0.53,0.47,1.69,0.25,0.00,1.00,0
Michael Lombardo,"6' 0""",170,72,Orthodox,3-Apr-90,1.47,0.62,2.63,0.31,0.69,2.5,0.21,0.60,0.40,0
Jamey-Lyn Horth,"5' 7""",125,,,30-Mar-90,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Bobby Nash,"6' 0""",170,74,Orthodox,26-Mar-90,3.42,0.37,3.95,0.51,0.49,2.37,0.33,1.00,0.00,1.6
Stevie Ray,"5' 10""",155,70,Southpaw,25-Mar-90,3.73,0.44,2.93,0.54,0.46,0.75,0.46,0.55,0.45,0.6
Austin Vanderford,"5' 11""",170,,Orthodox,21-Mar-90,3.9,0.52,5.19,0.45,0.55,0,0.00,1.00,0.00,1.9
Antonio Carlos Junior,"6' 2""",185,79,Orthodox,16-Mar-90,1.95,0.42,2.14,0.52,0.48,3.42,0.39,0.53,0.47,0.8
Oleksandr Doskalchuk,"5' 6""",125,,Southpaw,13-Mar-90,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Song Kenan,"6' 0""",170,71,Orthodox,10-Mar-90,4.39,0.46,4.37,0.54,0.46,0,0.00,0.50,0.50,0
Zhang Lipeng,"5' 11""",155,71,Southpaw,10-Mar-90,1.28,0.48,1.88,0.53,0.47,1.75,0.30,0.69,0.31,0.8
Jason Gonzalez,"6' 2""",155,74,Southpaw,28-Feb-90,3.06,0.39,3.13,0.58,0.42,0,0.00,0.30,0.70,1
Jordan Griffin,"5' 10""",145,73,Southpaw,28-Feb-90,2.6,0.46,3.18,0.48,0.52,0.78,0.23,0.42,0.58,1.8
Alexander Munoz,"5' 9""",155,72,Switch,27-Feb-90,3.27,0.40,5.23,0.52,0.48,2.5,0.35,0.00,1.00,0
Khalil Rountree Jr.,"6' 1""",205,76,Southpaw,26-Feb-90,3.06,0.38,3.63,0.49,0.51,0,0.00,0.50,0.50,0.2
Ottman Azaitar,"5' 8""",155,71,Switch,20-Feb-90,8.43,0.57,1.76,0.67,0.33,0,0.00,1.00,0.00,0
Damian Stasiak,"5' 5""",135,70,Orthodox,20-Feb-90,1.86,0.36,3.1,0.52,0.48,2.64,0.35,0.43,0.57,0.6
Marc-Andre Barriault,"6' 1""",185,74,Orthodox,18-Feb-90,4.25,0.46,4.12,0.57,0.43,0.55,0.28,0.69,0.31,0
Manon Fiorot,"5' 7""",125,,Orthodox,17-Feb-90,5.8,0.53,1.86,0.79,0.21,1.64,1.00,1.00,0.00,0
Andre Muniz,"6' 1""",185,78,Southpaw,17-Feb-90,2.21,0.58,1.8,0.45,0.55,2.61,0.35,0.37,0.63,2.2
Anatoly Tokov,"5' 10""",185,,,17-Feb-90,3.51,0.72,0.54,0.66,0.34,2.03,1.00,1.00,0.00,0
Victoria Leonardo,"5' 5""",125,64,Orthodox,16-Feb-90,3.4,0.37,4.15,0.47,0.53,2.39,0.37,0.00,1.00,0
Dan Hooker,"6' 0""",155,75,Switch,13-Feb-90,4.95,0.48,4.92,0.51,0.49,0.72,0.34,0.79,0.21,0.3
Megan Anderson,"6' 0""",145,72,Orthodox,11-Feb-90,1.76,0.46,3.35,0.37,0.63,0.52,0.25,0.53,0.47,0.5
Makhmud Muradov,"6' 2""",185,75,Orthodox,8-Feb-90,5.32,0.42,2.92,0.64,0.36,0.36,0.16,1.00,0.00,0.4
Chase Gibson,"5' 10""",155,72,Orthodox,7-Feb-90,3.13,0.54,6.4,0.52,0.48,0,0.00,0.00,1.00,0
Nah-Shon Burrell,"5' 11""",170,,Orthodox,5-Feb-90,4.83,0.47,3.45,0.56,0.44,0,0.00,0.52,0.48,0.3
Derek Anderson,"6' 0""",155,,,2-Feb-90,3.97,0.37,3.08,0.61,0.39,0.34,0.14,0.60,0.40,0
Oskar Piechota,"6' 0""",185,76,Southpaw,24-Jan-90,3.3,0.52,3.93,0.51,0.49,0.61,0.40,0.38,0.62,1.5
Christos Giagos,"5' 10""",155,71,Orthodox,23-Jan-90,2.88,0.41,2.59,0.51,0.49,3.11,0.39,0.50,0.50,0.3
Anthony Ivy,"6' 2""",185,74,Orthodox,23-Jan-90,2.5,0.42,4.57,0.51,0.49,4.69,0.20,1.00,0.00,0
Timur Valiev,"5' 6""",145,67,Orthodox,19-Jan-90,5.5,0.71,1.55,0.56,0.44,2.73,0.66,0.50,0.50,0
Sanghoon Yoo,"6' 0""",155,74,Orthodox,18-Jan-90,5,0.66,7.27,0.27,0.73,1,1.00,0.75,0.25,1
Matt Schnell,"5' 8""",125,70,Orthodox,15-Jan-90,4.2,0.36,4.02,0.62,0.38,0.48,0.33,0.53,0.47,1.2
Domingo Pilarte,"6' 0""",135,73,Southpaw,5-Jan-90,2.04,0.50,3.69,0.42,0.58,2,0.42,0.75,0.25,1.3
Sheila Gaff,"5' 5""",135,,Orthodox,29-Dec-89,1.6,0.50,2.89,0.28,0.72,0,0.00,0.20,0.80,0
Teddy Ash,"6' 1""",185,73,Switch,27-Dec-89,7.27,0.61,6.8,0.28,0.72,0,0.00,1.00,0.00,0
Kyle Noblitt,"6' 2""",243,,,26-Dec-89,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Dominick Reyes,"6' 4""",205,77,Southpaw,26-Dec-89,4.53,0.48,3.16,0.49,0.51,0.2,0.16,0.82,0.18,0.2
Jack Marshman,"6' 0""",185,73,Orthodox,19-Dec-89,2.74,0.25,4.19,0.56,0.44,0,0.00,0.20,0.80,0
Matt Dwyer,"6' 4""",170,76,Orthodox,17-Dec-89,2.57,0.34,3.24,0.54,0.46,0.44,0.10,0.60,0.40,0
Zach Zane,"5' 7""",145,69,Southpaw,14-Dec-89,0.87,0.56,6.67,0.20,0.80,0,0.00,0.26,0.74,0
Alessio Di Chirico,"6' 0""",185,74,Orthodox,12-Dec-89,3.3,0.41,3.24,0.62,0.38,1.62,0.45,0.83,0.17,0
Joe Lowry,"5' 11""",155,73,Orthodox,12-Dec-89,3.97,0.34,4.25,0.63,0.37,0,0.00,0.00,1.00,0
Anthony Rocco Martin,"6' 0""",170,73,Orthodox,11-Dec-89,2.68,0.37,2.59,0.58,0.42,0.71,0.27,0.68,0.32,1
Idris Wasi,"6' 0""",186,,,11-Dec-89,0.4,0.31,3.53,0.46,0.54,0,0.00,0.20,0.80,0
Ben Sosoli,"6' 0""",265,72,Southpaw,10-Dec-89,2.31,0.31,4.3,0.47,0.53,0,0.00,0.00,1.00,0
Brendan Loughnane,"5' 10""",145,70,Switch,5-Dec-89,6.23,0.63,6.7,0.53,0.47,1.5,0.30,0.92,0.08,0
Mike Rhodes,"6' 1""",170,74,Orthodox,4-Dec-89,3.2,0.39,4.13,0.64,0.36,0.96,0.33,0.75,0.25,0.5
Cameron Olson,"6' 1""",205,75,Orthodox,22-Nov-89,3.13,0.47,2.2,0.57,0.43,3,0.42,1.00,0.00,1
Erik Perez,"5' 8""",135,68,Orthodox,19-Nov-89,3.16,0.40,2.09,0.66,0.34,3.16,0.55,0.69,0.31,0.2
Yusuke Kasuya,"5' 7""",155,,Southpaw,16-Nov-89,2.17,0.44,4.34,0.48,0.52,1.36,0.33,0.00,1.00,0
Chase Sherman,"6' 4""",250,78,Orthodox,16-Nov-89,6.02,0.45,5.55,0.52,0.48,0,0.00,0.77,0.23,0
Justin Sumter,"6' 2""",185,80,Southpaw,16-Nov-89,2.68,0.48,7.64,0.34,0.66,2.87,1.00,0.00,1.00,0
Josh Shockley,"6' 1""",155,,Orthodox,15-Nov-89,1.4,0.33,1.75,0.60,0.40,0,0.00,0.61,0.39,0.8
Abubakar Nurmagomedov,"5' 11""",170,72,Orthodox,13-Nov-89,1.41,0.44,0.71,0.81,0.19,5.29,1.00,0.00,1.00,0
Humberto DeLeon,,135,,,12-Nov-89,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Yana Kunitskaya,"5' 6""",135,68,Orthodox,11-Nov-89,4.22,0.57,2.62,0.51,0.49,1.62,0.53,0.50,0.50,0.2
Cody Stamann,"5' 6""",145,64,Orthodox,9-Nov-89,4.14,0.48,3.18,0.63,0.37,3.03,0.46,0.80,0.20,0
Allen Crowder,"6' 3""",245,76,Orthodox,8-Nov-89,2.95,0.51,2.95,0.56,0.44,1.85,0.33,1.00,0.00,1.2
Jordan Espinosa,"5' 6""",125,69,Orthodox,8-Nov-89,4.22,0.52,2.94,0.57,0.43,0.75,0.28,0.70,0.30,0.2
Vince Cachero,"5' 6""",145,68,Orthodox,7-Nov-89,3.29,0.45,6.51,0.43,0.57,0,0.00,0.18,0.82,0.5
JC Cottrell,"5' 9""",155,,Orthodox,4-Nov-89,0.79,0.25,2.75,0.45,0.55,0.79,1.00,0.50,0.50,0
Julio Arce,"5' 7""",145,70,Southpaw,27-Oct-89,4.25,0.36,2.87,0.67,0.33,0.58,0.30,0.93,0.07,0.6
Danielle Taylor,"5' 0""",115,60,Orthodox,25-Oct-89,2.75,0.29,3.31,0.71,0.29,0.2,0.20,0.70,0.30,0.2
Francisco Figueiredo,"5' 6""",135,69,Southpaw,23-Oct-89,1.93,0.54,2.07,0.76,0.24,4,0.66,1.00,0.00,0
Ji Yeon Kim,"5' 7""",125,72,Orthodox,18-Oct-89,4.5,0.34,4.94,0.57,0.43,0,0.00,0.42,0.58,0
Charles Oliveira,"5' 10""",155,74,Orthodox,17-Oct-89,3.22,0.52,2.94,0.54,0.46,2.64,0.44,0.57,0.43,2.8
Collin Hart,"6' 1""",185,,Orthodox,12-Oct-89,6.33,0.44,7.53,0.51,0.49,2,0.16,0.50,0.50,0
Desmond Green,"5' 10""",155,73,Southpaw,11-Oct-89,3.7,0.46,2.51,0.69,0.31,1.62,0.50,0.75,0.25,0
Marcin Bandel,"5' 10""",155,,Orthodox,10-Oct-89,0.79,0.50,5.26,0.23,0.77,0,0.00,0.00,1.00,0
Jordan Mein,"6' 0""",170,73,Orthodox,10-Oct-89,3.35,0.44,2.55,0.69,0.31,1.56,0.58,0.66,0.34,0.2
Yuta Sasaki,"5' 10""",125,71,Southpaw,7-Oct-89,2.16,0.41,2.5,0.50,0.50,3.03,0.43,0.41,0.59,1.2
Sean Soriano,"5' 9""",145,,Orthodox,6-Oct-89,3.15,0.61,2.31,0.52,0.48,1.27,0.42,0.55,0.45,0
Mariusz Ksiazkiewicz,"6' 3""",185,75,Southpaw,4-Oct-89,0.93,0.45,3.4,0.39,0.61,4,1.00,0.00,1.00,2
Sirwan Kakai,"5' 5""",135,,Orthodox,3-Oct-89,3.57,0.41,4.63,0.62,0.38,4,0.42,0.83,0.17,0
Anton Berzin,"6' 2""",205,,Orthodox,29-Sep-89,4.4,0.46,6.8,0.67,0.33,2,0.28,0.00,1.00,1
Niko Price,"6' 0""",170,76,Orthodox,29-Sep-89,5.33,0.41,5.83,0.49,0.51,0.89,0.22,0.72,0.28,0.9
Salim Touahri,"5' 10""",170,72,Orthodox,28-Sep-89,2.6,0.46,2.87,0.58,0.42,0,0.00,0.83,0.17,0
Chris Daukaus,"6' 3""",250,76,Orthodox,25-Sep-89,11.78,0.61,3.22,0.65,0.35,0,0.00,1.00,0.00,0
Rodolfo Vieira,"6' 0""",185,73,Orthodox,25-Sep-89,1.66,0.42,3.06,0.42,0.58,7,0.47,0.00,1.00,1.6
Corey Anderson,"6' 3""",205,79,Orthodox,22-Sep-89,4.43,0.46,2.22,0.59,0.41,4.89,0.50,0.83,0.17,0
Aalon Cruz,"6' 0""",145,78,Switch,20-Sep-89,7.58,0.39,8.88,0.58,0.42,0,0.00,0.00,1.00,0
Volkan Oezdemir,"6' 2""",205,75,Orthodox,19-Sep-89,5.03,0.45,4.24,0.55,0.45,0.36,0.20,0.80,0.20,0
Alejandro Perez,"5' 6""",145,67,Orthodox,2-Sep-89,3.52,0.35,2.94,0.64,0.36,0.52,0.20,0.73,0.27,0.1
Henrique da Silva,"6' 3""",205,76,Orthodox,1-Sep-89,3.89,0.60,5.28,0.40,0.60,0.25,0.14,0.22,0.78,0.2
Kyle Prepolec,"5' 10""",170,70,Southpaw,30-Aug-89,3.2,0.34,4.7,0.54,0.46,0,0.00,0.40,0.60,0
Joey Gomez,"5' 10""",155,71,Orthodox,29-Aug-89,3.73,0.49,3.33,0.50,0.50,2,0.28,0.00,1.00,0
Adli Edwards,,145,,,28-Aug-89,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Ryan Benoit,"5' 5""",125,68,Orthodox,25-Aug-89,2.95,0.41,3.4,0.60,0.40,0.33,0.25,0.70,0.30,0.5
Michael Cora,"6' 1""",170,77,Southpaw,24-Aug-89,0.8,0.28,0.13,0.66,0.34,0,0.00,0.25,0.75,0
Niklas Backstrom,"6' 1""",145,,Orthodox,22-Aug-89,1.12,0.41,3.65,0.40,0.60,2.92,0.80,0.72,0.28,2.2
Krzysztof Jotko,"6' 1""",185,77,Southpaw,19-Aug-89,2.98,0.45,1.9,0.58,0.42,1.27,0.35,0.87,0.13,0.1
Julianna Pena,"5' 6""",135,69,Orthodox,19-Aug-89,2.8,0.47,1.7,0.53,0.47,2.49,0.53,0.23,0.77,0.8
Dwight Joseph,"5' 6""",135,,Switch,16-Aug-89,2.6,0.52,2.87,0.55,0.45,1,0.20,0.20,0.80,1
Tecia Torres,"5' 1""",115,60,Orthodox,16-Aug-89,4.3,0.47,3.37,0.62,0.38,0.68,0.15,0.56,0.44,0.1
Zhang Weili,"5' 4""",115,63,Switch,13-Aug-89,6.38,0.45,4.43,0.53,0.47,1.26,0.23,1.00,0.00,0.5
Justin Jaynes,"5' 7""",155,68,Orthodox,10-Aug-89,3.58,0.42,6.49,0.58,0.42,0,0.00,0.33,0.67,0.6
Armando Villarreal,"5' 7""",135,66,Southpaw,8-Aug-89,3.23,0.55,4.3,0.52,0.48,3.23,0.25,0.00,1.00,0
Aaron Phillips,"5' 9""",135,71,Southpaw,5-Aug-89,1.65,0.56,3.44,0.39,0.61,0,0.00,0.44,0.56,0.4
Milana Dudieva,"5' 3""",135,,Orthodox,4-Aug-89,0.87,0.31,3.43,0.58,0.42,2.34,0.45,0.00,1.00,0
Julian Erosa,"6' 1""",145,74,Southpaw,31-Jul-89,5.07,0.47,5.72,0.50,0.50,1.32,0.54,0.58,0.42,0.9
Aljamain Sterling,"5' 7""",135,71,Orthodox,31-Jul-89,4.84,0.49,2.2,0.63,0.37,1.77,0.24,0.41,0.59,0.9
Mike Santiago,"5' 10""",145,69,Orthodox,28-Jul-89,3.44,0.49,3.58,0.36,0.64,2.66,0.50,0.53,0.47,1.1
Jamall Emmers,"5' 10""",145,74,Orthodox,24-Jul-89,5.75,0.52,4.65,0.54,0.46,2.9,0.53,1.00,0.00,0
