fighter_name,Height_ft_in,Weight_lbs,Reach_lbs,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,Opp_Str,TD_Avg,TD_Acc,TD_Def,Opp_TD,Sub_Avg
Wu Yanan,"5' 8""",125,66,Orthodox,18-Apr-96,4.51,0.45,4.82,0.51,0.49,0.61,0.22,0.66,0.34,0.3
Mitchell Sipe,"6' 2""",245,,Orthodox,9-Apr-96,5.5,0.56,9.98,0.46,0.54,1.53,0.20,0.00,1.00,0
Marcos Brigagao,"6' 3""",205,76,Southpaw,1-Apr-96,3.07,0.43,3.27,0.25,0.75,0,0.00,0.36,0.64,0
Mana Martinez,"5' 10""",135,70,Orthodox,25-Mar-96,2.11,0.62,1.27,0.50,0.50,0,0.00,0.00,1.00,6.3
Jimmy Crute,"6' 2""",205,74,Orthodox,4-Mar-96,4.36,0.57,2.31,0.54,0.46,4.33,0.75,0.60,0.40,2.4
Sage Northcutt,"6' 0""",170,71,Orthodox,1-Mar-96,3.58,0.52,1.96,0.58,0.42,1.81,0.34,0.41,0.59,0.6
Umar Nurmagomedov,"5' 8""",135,,Orthodox,1-Mar-96,2.89,0.60,0.81,0.76,0.24,8.67,0.45,0.00,1.00,1.7
Melissa Gatto,"5' 5""",135,,Orthodox,5-Feb-96,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Christian Ocon,"5' 8""",135,69,Orthodox,5-Feb-96,1.73,0.53,5.27,0.34,0.66,0,0.00,0.63,0.37,0
Alex Da Silva,"5' 8""",155,73,Orthodox,4-Feb-96,2.07,0.46,2.65,0.55,0.45,2.75,0.43,0.77,0.23,0.4
Su Mudaerji,"5' 8""",125,72,Southpaw,20-Jan-96,4.49,0.51,2.19,0.68,0.32,0.4,1.00,0.77,0.23,0.8
Timo Feucht,"6' 3""",205,79,Orthodox,18-Jan-96,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Loma Lookboonmee,"5' 1""",115,61,Orthodox,18-Jan-96,5.16,0.55,3.09,0.59,0.41,0.67,0.25,0.72,0.28,0
Luigi Vendramini,"5' 8""",170,73,Orthodox,16-Jan-96,2.26,0.42,2.26,0.59,0.41,0,0.00,0.00,1.00,2
Duda Santana,"5' 7""",145,73,Orthodox,10-Jan-96,6.01,0.39,2.72,0.73,0.27,6.44,0.60,0.00,1.00,0
Brendan Allen,"6' 2""",185,75,Orthodox,28-Dec-95,3.55,0.59,4.57,0.39,0.61,1.17,0.37,0.50,0.50,2
Jamal Pogues,"6' 3""",205,77,Orthodox,1-Dec-95,3.27,0.74,3.07,0.56,0.44,7,0.63,1.00,0.00,0
Charles Jourdain,"5' 9""",145,69,Switch,27-Nov-95,4.79,0.45,4.11,0.61,0.39,0,0.00,0.47,0.53,0.7
Landon Quinones,"5' 9""",155,,Southpaw,21-Nov-95,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
