ID,Course,Age,Dept,Treatment,Score,,
895328506,47328,23,ACCT,Control,78,,
292221313,46474,26,BUSN,Instructor Incentives,78,,
299513086,35168,21,ENGL,Instructor Incentives,0,,
771199475,20086,19,COMM,Instructor Incentives,86,,
489736899,44099,19,ENGL,Control,84,,
346048805,35395,25,MATH,Control,40,,
816356467,35106,21,HLHS,Instructor Incentives,81,,
982976329,44327,19,PSYC,Control,0,,
119116304,34665,21,COMM,Instructor Incentives,100,,
694172204,20103,19,PSYC,Instructor Incentives,90,,
105678567,42028,30,COMM,Instructor Incentives,0,,
235920521,34993,21,MATH,Control,73,,
766824690,45684,21,HLHS,Instructor Incentives,86,,
180189195,20129,19,BIOL,Control,0,,
502893145,34680,41,BUSN,Control,91,,
825865573,20027,21,COMM,Control,52,,
147408361,35050,23,APHY,Instructor Incentives,0,,
128029399,34887,20,MATH,Control,0,,
331389206,40037,42,APHY,Instructor Incentives,88,,
724987587,34648,20,SCIN,Instructor Incentives,55,,
378727154,46474,49,BUSN,Instructor Incentives,86,,
884221250,44091,19,MATH,Control,67,,
696529039,44030,18,MATH,Instructor Incentives,57,,
409749178,44041,19,MATH,Control,37,,
580931842,35160,37,ENGL,Instructor Incentives,100,,
767800699,46586,19,PSYC,Instructor Incentives,48,,
623480660,20119,22,BIOL,Control,0,,
427681074,34673,25,ENGL,Control,0,,
898028441,46256,43,HLHS,Instructor Incentives,74,,
559687480,33541,19,ENGL,Control,52,,
742261702,44237,40,APHY,Control,0,,
580931842,47198,37,BUSN,Control,86,,
826105888,44008,25,SOCI,Control,96,,
743074283,34606,19,APHY,Control,55,,
860700730,34499,38,BOAT,Instructor Incentives,88,,
276876203,42784,19,MATH,Control,63,,
595342764,40037,24,APHY,Instructor Incentives,42,,
979941962,34305,19,ARTH,Control,59,,
170596357,32698,41,ACCT,Instructor Incentives,78,,
993443292,44234,19,APHY,Control,65,,
597792057,34303,18,PSYC,Instructor Incentives,82,,
637124610,35894,17,ENGL,Control,80,,
606069649,20066,19,MATH,Control,80,,
